date,equity
2019-06-19,12.991569020268878
2019-06-20,13.132744005488473
2019-06-21,13.204085888146958
2019-06-24,13.418649969886088
2019-06-25,13.705627449307295
2019-06-26,13.801731449644857
2019-06-27,13.792451157882448
2019-06-28,13.714504231936406
2019-07-01,14.156750173308001
2019-07-02,14.522372040687682
2019-07-03,14.548837937317156
2019-07-04,14.47748852996309
2019-07-05,14.328042184496939
2019-07-08,14.053673436078764
2019-07-09,14.285422890589693
2019-07-10,13.986884137507783
2019-07-11,14.07452763358924
2019-07-12,14.148310771252545
2019-07-15,14.10450528205793
2019-07-16,14.276102634299654
2019-07-17,14.373498279056609
2019-07-18,14.221314010292412
2019-07-19,13.690410706756124
2019-07-22,13.804065255097258
2019-07-23,13.767299628445151
2019-07-24,13.622987489806128
2019-07-25,13.634482356805707
2019-07-26,13.495620750901868
2019-07-29,13.390266345797487
2019-07-30,13.438544346348046
2019-07-31,13.43270328949167
2019-08-01,13.058554547592621
2019-08-02,13.12558413860987
2019-08-05,12.6913625461989
2019-08-06,13.316384602442257
2019-08-07,13.042874222711195
2019-08-08,13.269069752810863
2019-08-09,13.339126604779192
2019-08-13,12.88293519088745
2019-08-14,13.177431925692241
2019-08-16,13.444933544830796
2019-08-19,13.451217474118714
2019-08-20,13.214426382763921
2019-08-21,13.043788664954754
2019-08-22,12.730061787036094
2019-08-23,13.011988728132097
2019-08-26,13.168548611862935
2019-08-27,13.246926521844522
2019-08-28,13.061971508990665
2019-08-29,12.857404962925147
2019-08-30,13.058687134824506
2019-09-03,12.780619428882567
2019-09-04,12.711017365480258
2019-09-05,12.853480756286567
2019-09-06,12.803907661355765
2019-09-09,13.00445480434757
2019-09-11,12.889673491140764
2019-09-12,12.868847649430009
2019-09-13,12.916823493425301
2019-09-16,12.896106382982225
2019-09-17,12.809680844219004
2019-09-18,12.95324832270067
2019-09-19,12.813889350512989
2019-09-20,13.479868000192825
2019-09-23,13.741355222937662
2019-09-24,14.024040936204155
2019-09-25,13.798602420888141
2019-09-26,14.011541165957201
2019-09-27,13.953232975969451
2019-09-30,13.733216196785316
2019-10-01,13.461679667493682
2019-10-03,13.351555627210168
2019-10-04,13.18437381343065
2019-10-07,13.164230272668394
2019-10-09,13.358722916714548
2019-10-10,13.361357144961737
2019-10-11,13.390527189953355
2019-10-14,13.479205004472403
2019-10-15,13.347326140951049
2019-10-16,13.264263732834623
2019-10-17,13.391355685045513
2019-10-18,13.580713175731724
2019-10-22,13.687400528155049
2019-10-23,13.726104755884364
2019-10-24,13.914716287786367
2019-10-25,13.392154083864215
2019-10-27,13.643399142447151
2019-10-29,13.600716550982165
2019-10-30,13.705406670168065
2019-10-31,13.706540453385744
2019-11-01,13.634741585334698
2019-11-04,13.7078619003621
2019-11-05,13.618378907281546
2019-11-06,13.703595805744799
2019-11-07,13.836329663703406
2019-11-08,13.869401402605785
2019-11-11,13.831373228191284
2019-11-13,13.823199991416452
2019-11-14,13.841735301932482
2019-11-15,13.601653933477568
2019-11-18,13.413938907672097
2019-11-19,13.445718524132033
2019-11-20,13.428056792416537
2019-11-21,13.483425602486506
2019-11-22,13.464795110446147
2019-11-25,13.557685422667522
2019-11-26,13.433049145232886
2019-11-27,13.522777817422634
2019-11-28,13.549978489836288
2019-11-29,13.470427966655864
2019-12-02,13.367900495736668
2019-12-03,13.190784891675694
2019-12-04,13.278407151563723
2019-12-05,13.107957508734401
2019-12-06,12.994574708461105
2019-12-09,12.745127838106661
2019-12-10,12.600460015026574
2019-12-11,12.849638898395254
2019-12-12,12.79108400224406
2019-12-13,12.768939241744132
2019-12-16,12.805473824170456
2019-12-17,12.841485570634914
2019-12-18,12.885085579099131
2019-12-19,12.916896337295666
2019-12-20,12.998368839933528
2019-12-23,13.058608286533481
2019-12-24,13.313937592265917
2019-12-26,13.448654425401367
2019-12-27,13.38609074943377
2019-12-30,13.515246003455205
2019-12-31,13.649861907505738
2020-01-01,13.806170056168174
2020-01-02,13.978931402066486
2020-01-03,14.225771230759927
2020-01-06,14.153070716950712
2020-01-07,14.559993956328583
2020-01-08,14.752114893006008
2020-01-09,15.010832455332483
2020-01-10,14.731705421260651
2020-01-13,14.556808033078848
2020-01-14,14.4556668018137
2020-01-15,14.27680630217467
2020-01-16,14.244800357489186
2020-01-17,14.39339014655282
2020-01-20,14.540447521056363
2020-01-21,14.521815779887286
2020-01-22,14.402777818173623
2020-01-23,14.503046467657317
2020-01-24,14.658184596950523
2020-01-27,14.781932551365804
2020-01-28,14.970935344644577
2020-01-29,14.863820549844446
2020-01-30,14.871176831145938
2020-01-31,15.17298779987016
2020-02-03,15.16620562127967
2020-02-04,15.44804550692269
2020-02-05,15.448329436437435
2020-02-06,15.757292108930217
2020-02-07,15.9253159481604
2020-02-10,15.868645744968413
2020-02-11,15.752245293994704
