ticker,score,rebalance_date
GLAXO,-0.28545200496581624,2026-06-28
IEX,-0.28695171458754176,2026-06-28
ZEEL,-0.29832007881767864,2026-06-28
IRCTC,-0.2986687967053888,2026-06-28
DLF,-0.2996850602361253,2026-06-28
PIIND,-0.3063260109374383,2026-06-28
UBL,-0.3071455346105856,2026-06-28
TATAELXSI,-0.31457505756559934,2026-06-28
NAUKRI,-0.32752942793655326,2026-06-28
SBICARD,-0.33646310295937665,2026-06-28
WHIRLPOOL,-0.3683237890006774,2026-06-28
JUBLFOOD,-0.38481611880760414,2026-06-28
BATAINDIA,-0.4181974102111049,2026-06-28
KEC,-0.4365164570435648,2026-06-28
KPITTECH,-0.44255355072495717,2026-06-28
BAJAJELEC,-0.4984309687676981,2026-06-28
